id,company,country,countryregion,product_categories,brandnames,link_details
45988,AARTI INTERNATIONAL LIMITED,India (IN),Punjab,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/45988
39301,Aarti Yarnfab Private Limited,India (IN),Haryana,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/39301
44390,Aarupadai Exports,India (IN),Tamil Nadu,"Fabrics, Men's wear, Accessories, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44390
44899,AASEE EXPORT,India (IN),Tamil Nadu,"Accessories, Fabrics, Home Textiles, Product category (other), Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44899
8323,Aastha Spintex Pvt. Ltd.,India (IN),Gujarat,"Yarns, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/8323
37299,Aathira Traders,India (IN),Tamil Nadu,"Fabrics, Yarns, Home Textiles, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/37299
41553,Aauraa home fashion pvt ltd,India (IN),Tamil Nadu,Product category (other),NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/41553
42014,AAVESH CLOTHING,India (IN),Tamil Nadu,"Babywear, Children's wear, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/42014
27788,AB Cotspin India Limited,India (IN),Punjab,"Fabrics, Yarns, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/27788
38971,ABANA (Mauritius) Ltd,Mauritius (MU),NULL,Garments,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/38971
26349,ABK,India (IN)<br>Haryana,Haryana,"Accessories, Fabrics, Garments, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/26349
46179,Able Leader Company Limited,Hong Kong (HK) - SAR of China,NULL,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46179
38219,ABM COTTON TEKSTIL SANAYI VE TICARET ANONIM SIRKETI CORLU SUBESI,Türkiye (TR),NULL,Yarns,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/38219
44281,ABN PAZARLAMA KONFEKSIYON TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,Türkiye (TR),NULL,"Fabrics, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44281
40750,Aboni Knitwear Ltd.,Bangladesh (BD),Dhaka,"Accessories, Babywear, Ladieswear, Children's wear, Fabrics, Men's wear, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40750
46981,ABOUT YOU SE & CO. KG,Germany (DE),NULL,"Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46981
36528,AMIT COTTON INDUSTRIES,India (IN),Gujarat,"Yarns, Product category (other)",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/36528
37572,Amtranet Limited.,Bangladesh (BD),Dhaka,"Garments, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/37572
44437,AMUTHAM FABRIC,India (IN),Tamil Nadu,"Babywear, Children's wear, Fabrics, Yarns, Accessories, Home Textiles, Toys",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44437
26160,AMW NAWROT SPÓŁKA JAWNA,Poland (PL),NULL,Home Textiles,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/26160
27777,Aara Tex,India (IN),Tamil Nadu,"Babywear, Children's wear, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/27777
43251,Aakarsh Exports,India (IN),Uttar Pradesh,"Fabrics, Ladieswear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43251
36939,Aalishan Exports,India (IN),Tamil Nadu,"Accessories, Babywear, Ladieswear, Children's wear, Fabrics, Men's wear, Home Textiles, Product category (other), Toys",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/36939
46747,Aanchal Creations,India (IN),Rajasthan,"Accessories, Ladieswear, Men's wear",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46747
36209,Aarryamaan,India (IN),Tamil Nadu,"Babywear, Children's wear, Fabrics, Ladieswear, Men's wear, Yarns, Accessories",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/36209
44727,AARRYAMAAN KNIT FASHIONS,India (IN),Tamil Nadu,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44727
44819,AB Duns Sweden,Sweden (SE),NULL,"Babywear, Children's wear, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44819
35857,AB TUNISIE,Tunisia (TN),NULL,Accessories,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35857
35377,Abhayan Expo Fab,India (IN),Tamil Nadu,"Fabrics, Yarns",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35377
36374,Abhi Fab (P) Limited,India (IN),Haryana,Fabrics,NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/36374
46085,ABHIHOME EXPORTS LLP,India (IN),Haryana,"Accessories, Fabrics, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/46085
40166,Abhitex International,India (IN),Haryana,"Fabrics, Home Textiles",NULL,/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40166
